Sr No,Lender,Product Program,Min. Vintage,Min. Score,Min. Turnover,Max Ticket size,Disb Till date,ABB,Entity,Age,Minimum Turnover,No 30+,60+,90+,Enquiries,No Overdues,EMI bounce,Bureau Check,Banking Statement,Bank Source,Ownership Proof,GST,Tele PD,Video KYC,FI,KYC Doc,Tenor Min,Tenor Max
4,Lendingkart,BL,1,650,12,35L,5.76,20k,Proprietorship / Partnership / Pvt Ltd / Public Ltd / LLP/ Single owner company,23 - 60,12L,>2 - 6 months,,12 months,>30 In 6 months,,,"No 90+ in last 12 months on any tradeline
 No LSS/DBT/SUB/SMA in last 18 months on any tradeline
 No written off/settled in the last 18 months(in open & closed loans both) with a written off principal amount more than 5000.
 Any suit filed/default ever to be rejected
 No 30+ for >2 times in any loan in last 6 months
 No. of Loan Enquiry in 6 months >30",12 months,AA + PDF,NA,NA,Yes,Yes for Prop,"Yes if VKYC not successful
 above 25 L - FI mandatory for resi and office
 15-25 L - FI mandatory for office","Address proof , PAN, aadhaar",12,36
10,NeoGrowth,NG Insta,2,700,-,25L,2.21,20k,,,,,,,,,,,,,NA,NA,,Yes,,,16,24
11,NeoGrowth,NG Express,2,700,-,25L,,20k,,,,,,,,,,,,,NA,NA,,Yes,,,,24
24,NeoGrowth,NG Retails,,,-,35L,,25K,,,,,,,,,,,,,,,,,,,18,36
6,IIFL,Digital,1,700,10,30L,2.46,8k,Self Employed profile (Individual/ Sole Proprietorship),23-65,,12 months,,18 months,,,,"-No Settled/W-off/Suit filed/SUB/SMA/DBT/LSS in last 18 months
 -No restructured loan in last 24 months (excluding restructured due to Covid-19)
 -No 1+ DPD in tradeline with restructured due to Covid-19 in last 12 months
 Loan tradelines: Excluding Credit Card/GL/KCC/EL
 -Dpd up to 7 days not more than 2 times in last 6 months
 -No 30+ DPD in last 12 months
 -No 90+ in last 18 months
 Account Type: Credit Card/GL/KCC/EL
 -No 20+ DPD > 3 times in last 6 months
 -No 30+ in last 6 months
 No 60+ in 12 months",6 months,,"Ownership proof mandatory for Loan amount > 10 lakhs (Not mandatory if Active
 Home Loan/Loan Against Property Running in Individual/Joint Capacity)
 • In case own property is in name of father/mother/spouse/children/grandparents of
 the applicants then it shall be deemed as applicant having ownership
 • Ownership holder not to be taken in application.",Yes,,Live selfie,*FI/VPD mandatory if address mismatch with bureau records.,POI(PAN) and Address Proof (Aadhar),12,48
19,ABFL,BL - Udyog+,3,700,5,15L,,"ABB of 1 of Proposed EMI if loan up to 5 lacs
 if loan <=7.5 lacs then ABB of 1.25 of Proposed EMI
 Loan amount <=10 lacs then ABB of 1.50 of Proposed EMI","Self Employed Individuals, Partnership Firm, Pvt. Ltd. Companies, Proprietorship",25-65,20L,12 months,,,60 days <=5,>10k,6 months,"1. Overdue in last 12 months >10k
2.  More than 3 Live PL/BL with current outstanding >50k (Consider loans reported within last 3 months)
3. Never reported 30+ DPD on term loans in last 12 months.
4. Minimum 3 business credit transactions every month
5. No EMI Bounce in last 3 months
6. Maximum 1 EMI Bounce in three to six months",6 months,AA + PDF,Yes,NA,Yes,Yes,Yes,"Pan , aadhar, Udyam",12,36
12,Clix Capital,STBL,2,700,,10L,,ABB TO EMI ratio of 2:1,"Self Employed Individuals, Partnership Firm, Pvt. Ltd. Companies",60,1 Cr,,,,>10 - 3 months,,,"All applicant, co applicant cibil will be check. Max. 10 cibil enquries unsecured instrument(latest 3 month for enquiry norms)
 Max. 3 running loans (PL/SBL/BL)",6 months,AA,Yes,Yes,Yes,NA,Yes,"Udyam Aadhar. PAN , Aadhaar",12,36
13,Clix Capital,HTBL,2,700,200,35L,,ABB TO EMI ratio of 2:1,"Self Employed Individuals, Partnership Firm, Pvt. Ltd. Companies",60,2 Cr,,,,>10 - 3 months,,,"All applicant, co applicant cibil will be check. Max. 10 cibil enquries unsecured instrument(latest 3 month for enquiry norms)
 Max. 3 running loans (PL/SBL/BL)",6 months,AA,Yes,Yes,Yes,NA,Yes,"Udyam Aadhar. Pan, adhaar",12,36
23,Clix Capital,MTBL,3,700,100,20L,,ABB TO EMI ratio of 2:1,"Self Employed Individuals, Partnership Firm, Pvt. Ltd. Companies",,2 Cr,,,,>10 - 3 months,,,"All applicant, co applicant cibil will be check. Max. 10 cibil enquries unsecured instrument(latest 3 month for enquiry norms)
 Max. 3 running loans (PL/SBL/BL)",6 months,AA,Yes,Yes,Yes,NA,Yes,"Udyam Aadhar. PAN, Adhaar",12,36
22,IIFL,HTBL,3,700,100,10-35L,,ABB to EMI to be >= 1.5x,Self Employed profile: Sole Proprietorship/ Partnership/ Private Limited/ LLP/ OPC/ Unlisted Public Company,24-65,,,,,,,,,6 months,,Yes,Yes,,,,"Pan, Aadhar, Udhyam",12,36
7,FT Cash,BL,1.5,675,24,,,Policy not available,,,,,,,,,,,,,,,,,,,,
15,ICICI,OD,2,700,5,50L,1.55,Policy not available,,,,,,,,,,,,,,,,,,,,
18,Cholamandalam,BL,3,675,100,20L,,Policy not available,,,,,,,,,,,,,,,,,,,,
20,UGro,BL,3,650,20,50L,0.33,,"Proprietor, Partnership/LLP",21-75,40L for manufacturer & 20L for trader/service,,,,,,>2 - 6months,Maximum 2 EMI Bounces in last 6 months is allowed.,,,Yes,Yes - At least 70% of the GST turnover in the latest 12 months to be reflected in Banking credits,,,FI to be done for both Residence and Office,,,36
17,Godrej,BL,3,700,80,50L,0.64,,Self Employed Non Professional & Self Employed,21-65,50L,,,,,,,,6 months,,Yes,,,Yes,Yes,,12,48
